recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x585e3d66460bfba22a3f166ff6586e8cdd05987d,29674455,95,1,0.001899962000759984800303993920
0x0b734913c3e2bd1f653b6450ab25020a2c12bdd5,35984555,95,1,0.001899962000759984800303993920
0xef9142683a4bd2536c84e1bf0e9cd3ebf3b0d715,37727076,95,1,0.001899962000759984800303993920
0x25c1e4d5eca9992c13014ae0fc01a0c907183b20,36846031,94.818093080738304103,1,0.001896323935136063360792784144
0x4d0197050386dbe7b14158432caee4791380b374,34982611,94.7,1,0.001893962120757584848303033939
0x9643f54399d44402c50bcace9ec577f828704f94,35138727,94.18,5,0.001883562328753424931501369973
0x6fc33a1bb6d092ebe236432b4bc5c354fe649959,23841923,94.15756605029071,1,0.001883113658732639547209055819
0x4045b4239e1d6d42c2d84b7b2115c2888cd30d9f,23086660,94,1,0.001879962400751984960300793984
0x5370b3ca55bb561e7bc050c81848873b9bcebbec,25617438,93.87247071,1,0.001877411865962680746385072299
0x0c2afc1a3110ee3067e261c2dfa1e97205964f11,37611211,93.45948,1,0.001869152216955660886782264355
0x87169ab4e1fdb392a24eb90404332c1ea2bf9d99,36872893,92.971382042654696702,1,0.001859390453044033053378932421
0x5464de2b03ac0fddc96e8b20f610e73b3a551ea4,26963719,92.841878,1,0.001856800423991520169596608068
0x15a7d9114f520a7e5fd3ce225f0f7916974a0600,36524083,92.666753608067457497,1,0.001853298006201225125437491250
0x3c54acbdb6aa350d7cac41a70197b79f99da29cc,36033300,91.2,1,0.001823963520729585408291834163
0xf0c1c10e889afc1b0506b5d8cf79192b99d0bb2b,34209547,90.489544830213071929,1,0.001809754701510231233955320894
0x0ffb424d00ee9e0d49ea1b9076a4db9aecc77cef,35287020,89.920291731598622136,1,0.001798369867234627750164996700
0x539d9db8830ba4abcc4540d426c48aa8a8978492,36039650,89.775,1,0.001795464090718185636287274255
0x626ce47fba39daa34c1b74359852a54e0c8795da,26969892,89.28,1,0.001785564288714225715485690286
0x3223870e609f6d039428bc93fb4994e3fef642cd,36791527,89,1,0.001779964400711985760284794304
0x35c355487f90a3da05932fb3f53898b8c2a2eee0,36243320,88.721735,1,0.001774399212015759684806303874
0x26d445668ae674bb627befdea76b76d524d160c3,32568836,88.719371428483585613,1,0.001774351941530841095438091238
0x4f716a08c82ad3a9371bc1548ff8e2dc9afb42bb,36515328,88.576881386123219079,1,0.001771502197678510811363772725
0x65ac088b1e0500cc109b7df3a0d45d432d204921,24724842,87.836,1,0.001756684866302673946521069579
0xa2dbe3fad392a3d54c84c4cce4781efad3861ce4,35986482,87.804368,1,0.001756052238955220895582088358
0x892ca3aaccbb4d4244c58a9ab650096c6a3c5338,29723857,87.0281,1,0.001740527189456210875782484350
0xd1f637835ef83d13208132e3c5798a33819b8953,31992610,86.62895821937415673,1,0.001732544513497213190336193276
0xfacf3bbbe710e70dc19b5f65257cd902031b9de4,36995218,86.610217357896745415,1,0.001732169703763859631107377852
0x0d1bafaab34569c1d49c33ea0b538d534fb968f3,35846143,86.327864230586834922,1,0.001726522754156653565368692626
0x1e4e9d66a19f15d0b6ea27beb95378987843eef3,36037075,85.89916469596846877,1,0.001717948934940670561988760225
0x5a9ef0e84078c12a06fd3d1d6ca41979e6acdc7a,33881869,85.672727879339782931,1,0.001713420289181012038379232415
0x2bd8c723a8b317ab02160287905bf7e4a6b38bef,27633328,85.58396,1,0.001711644967100657986840263195
0x00972596d54ea484f09e6c5b797db7bc49e1647e,29969580,82.748795474561910308,1,0.001654942810635025505649887002
0x4bda8c8503156cedb900297258c6ac572ae45bf0,29730572,82.433498174155258894,1,0.001648636990743290312073758525
0xd4ff941913a5a6dffea4b5e49fb623c7cfe028c0,23733754,82,1,0.001639967200655986880262394752
0xd87f0527b7c3fb77ed31024a3d81e961acaa94ae,24090141,81.7,1,0.001633967320653586928261434771
0xad55595ffe44f3b5777b93d094726c804b947550,23578712,79.895,1,0.001597868042639147217055658887
0xef4bd2ea679880917333feecf61ed422ff9c7069,22850664,79.67,1,0.001593368132637347253054938901
0xc3a6f041eb8d157d7c756b3199d01f4bb34dcefa,36863963,79.596565164324659568,1,0.001591899465297187247615047699
0xf1c673238862224e655c577215d902a829691bed,23871255,78.44,1,0.001568768624627507449851002980
0xa719476eec234a6c6ba190456c39e9f5d7a54f3f,35760806,77.85,1,0.001556968860622787544249115018
0xc9525b253951774ce44c699f17f5675e7a333a47,34121739,76.85,1,0.001536969260614787704245915082
0x702b9a61c55bbe4e2ff6241ebbe9901880ab1aef,36856960,76.557342211984473596,1,0.001531116221915251166896662067
0xe22b959aa628cd286c99f5fa7b44a6304c5a4a05,23564435,76,1,0.001519969600607987840243195136
0x1f0045ac72a550343c5aee6f13e9fabcb4872a2e,25199469,76,1,0.001519969600607987840243195136
0x0cf228a7cb6fe01f4169d4e90c5fe7f5403b6fdf,35149165,75.05,1,0.001500969980600387992240155197
0x23a68aa51ed06e572c0780b08169a9076deb3310,28245232,75,1,0.001499970000599988000239995200
0xc7444ecf9e305700884a6d609fb85b7dce6c2617,36432423,75,1,0.001499970000599988000239995200
0xf9a57b22ceab4cc2f946843825bcd82a294c2156,24818411,74.8095337143752,1,0.001496160751072482550348993020
0xc4f38c69ede5bc57ed93e1125676b15d154bed72,35982393,74.470309920825707089,1,0.001489376410888296375852482950
0xd125cad5cc03f885bce2a17e333a488a5fa7fc20,35955755,72.4375,1,0.001448721025579488410231795364
0xaace41fe70f5ad31af01fe5735a30557b8b483f1,27337115,72.01,1,0.001440171196576068478630427391
0x524a7ce725ab0d12129936b332c03eec86ad4980,36117470,71.55,1,0.001430971380572388552228955421
0x689e88d4a7704126dd0aeafaf5e5a9d26c57a2dc,36847628,71.215525280367391169,1,0.001424282019966948484410311794
0x8b8269787c27d40e058c7048bef3ff1dda89d0d4,36764953,70.581779168835655282,1,0.001411607351229688511869762605
0xb6b1eabc25f5adb4dc175fd096f07d5e16fe0497,36923012,70.15,2,0.001402971940561188776224475510
0xbc6221bd7cdfc884c3f0b62f329d3dfb710be444,36769446,70.083255863275874129,1,0.001401637084523827006039879202
0x99dc7bd58dff22dc0d2fe34abc598329de8cb60c,36122792,69.893931726470260413,1,0.001397850677515854891162176756
0x8d01cb75d42b08b403d9bcbb79a895c86cac1dca,24104836,69.68,1,0.001393572128557428851422971541
0xfe7a40ff0ba574877300580deacef2893bca7ef5,37095330,69.54,1,0.001390772184556308873822523550
0x52e911b85df6f656c34bf7f0cb5abc291b9d2cd6,36232757,69.437917047650174494,1,0.001388730566341676656346873063
0x5e89ae1656683b63da079d2167f179c7ed7fe96b,35225633,69.085466614038295188,1,0.001381681698646792967900641987
0x75f159dd8f916d08267aee808107cf2044af7516,23470006,68.929993,1,0.001378572288554228915421691566
0x605b219b7d6cee632ced37d6563a2f647ef5a809,36842475,68.279062423118426216,1,0.001365553937383620851902961941
0x3f467dc8fadf49ae976dbabe575256bad6e7d486,37282837,67.45,1,0.001348973020539589208215835683
0x5587575fdbc8ce7c03c04429de3be8158f446120,23014030,67,1,0.001339973200535989280214395712
0xd37c064d1ad34ffb68d2b120c8b6d14e64312dee,29696856,66.82258603,1,0.001336424992100157996840063199
